Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
7478.874,1101,6.793,0.009,0.000,1053.295,38.117,[CUDA memcpy Host-to-Device]
5.326,260,0.020,0.020,0.000,0.041,0.021,[CUDA memcpy Device-to-Device]
0.020,169,0.000,0.000,0.000,0.001,0.000,[CUDA memcpy Device-to-Host]
0.004,2,0.002,0.002,0.000,0.004,0.003,[CUDA memset]
