Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
0.0,31676,2,15838.0,15838.0,6102,25574,13768.8,myelin-exec:/layers.11/mlp/up_proj/MatMul_myl0_607
0.0,31629,2,15814.5,15814.5,2046,29583,19471.6,myelin-exec:__myl_SlicReshTranSlicNegSlicConcMulMulAddCastMulCast_myl0_1667
0.0,31352,2,15676.0,15676.0,1213,30139,20453.8,myelin-exec:__myl_DivMulCastCastMulCastReshReshSlicSlic_myl0_1742
0.0,31268,2,15634.0,15634.0,14287,16981,1904.9,myelin-exec:__myl_Fc_myl0_673
0.0,30945,2,15472.5,15472.5,13509,17436,2776.8,myelin-exec:/layers.0/mlp/gateup_proj_2/MatMul_myl0_1389
0.0,30851,2,15425.5,15425.5,6212,24639,13029.9,myelin-exec:/layers.3/mlp/gateup_proj_7/MatMul_myl0_2985
0.0,30741,2,15370.5,15370.5,7463,23278,11182.9,myelin-exec:/layers.13/mlp/gateup_proj/MatMul_myl0_989
0.0,30591,2,15295.5,15295.5,7814,22777,10580.4,myelin-exec:__myl_Fc_myl0_1521
0.0,30499,2,15249.5,15249.5,7620,22879,10789.7,myelin-exec:__myl_Fc_myl0_443
0.0,30491,2,15245.5,15245.5,14250,16241,1407.8,myelin-exec:__myl_Fc_myl0_365
0.0,30397,2,15198.5,15198.5,7555,22842,10809.5,myelin-exec:__myl_Fc_myl0_1659
0.0,30073,2,15036.5,15036.5,8129,21944,9768.7,myelin-exec:/layers.14/mlp/up_proj/MatMul_myl0_682
0.0,30028,2,15014.0,15014.0,2083,27945,18287.2,myelin-exec:__myl_SlicSlicMulMulMulAddMulTanhAddMulMulMulMulCast_myl0_1920
0.0,29936,2,14968.0,14968.0,2250,27686,17986.0,myelin-exec:__myl_AddCastMulMeanAddSqrtDivMulMulAddCastMulCast_myl0_1592
0.0,29843,2,14921.5,14921.5,1241,28602,19347.1,myelin-exec:__myl_Slic_myl0_1692
0.0,29787,2,14893.5,14893.5,4888,24899,14149.9,myelin-exec:/layers.10/mlp/gateup_proj/MatMul_myl0_938
0.0,29694,2,14847.0,14847.0,5991,23703,12524.3,myelin-exec:/layers.4/mlp/up_proj/MatMul_myl0_432
0.0,29649,2,14824.5,14824.5,7288,22361,10658.2,myelin-exec:/layers.14/mlp/down_proj/MatMul_myl0_687
0.0,29565,2,14782.5,14782.5,1157,28408,19269.4,myelin-exec:__myl_MulCastAddMulCastAddConcMaxrSubExpSum_myl0_1758
0.0,29509,2,14754.5,14754.5,4167,25342,14973.0,myelin-exec:/vision_tower/vision_model/encoder/layers.7/mlp/fc1/MatMul_myl0_90
