Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.6,283488,1,283488.0,283488.0,283488,283488,0.0,__myl_MulReshDyna_cuda_tile_0xca871ea20018552aea6d88b1c6640fc9
0.6,283392,1,283392.0,283392.0,283392,283392,0.0,__myl_MulReshDyna_cuda_tile_0x915ae79d8d991894fa294be74eb6f22e
0.6,283232,1,283232.0,283232.0,283232,283232,0.0,__myl_MulReshDyna_cuda_tile_0xdbf4231e4c0015a0149516584c232a34
0.6,283104,1,283104.0,283104.0,283104,283104,0.0,__myl_MulReshDyna_cuda_tile_0xf4c83a53c7414579496e26d8427a0a72
0.6,282976,1,282976.0,282976.0,282976,282976,0.0,__myl_MulReshDyna_cuda_tile_0x56b99ff7e642dc09ad3b6b6791346bc4
0.6,282208,1,282208.0,282208.0,282208,282208,0.0,__myl_MulReshDyna_cuda_tile_0x0edba40dd520960243083a1e1f39fd9f
0.6,282016,1,282016.0,282016.0,282016,282016,0.0,__myl_MulReshDyna_cuda_tile_0xbadfebe8c33998987486ca4c1921aaf3
0.5,281120,1,281120.0,281120.0,281120,281120,0.0,__myl_MulReshDyna_cuda_tile_0xbce3b129cd34da6d37d961bd55f47479
0.5,280224,1,280224.0,280224.0,280224,280224,0.0,__myl_MulReshDyna_cuda_tile_0x215000aaf3e15afa367bfb5746e0a715
0.5,266848,180,1482.5,1216.0,1120,10336,977.2,__myl_AddMulCastReshTran_0xf7e2b434b541645892ba84e278dad6f5_com_vec
0.5,258592,39,6630.6,5920.0,4544,22048,3222.0,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.4,216576,18,12032.0,11360.0,11168,19904,2134.0,__myl_CastMulCastResh_0x221c2f4f2fd9fe7ac3e381664bd11026_com
0.4,214848,16,13428.0,13088.0,12064,15296,1263.1,__myl_TranSlicNegSlicConcMulMulAddCastMulCast_0x09616a8dea602c58d61f5dc473361676_com_vec
0.3,158976,1,158976.0,158976.0,158976,158976,0.0,__myl_EqlLtOrReshAndAndReshSeleMulCastAddMaxrSubExpSumDivMulCastCastMulCast_0x9a39839ba4e86c89c34066036aed21ed_com
0.3,154720,10,15472.0,14192.0,13920,24256,3206.2,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_811_0
0.3,148992,10,14899.2,13856.0,13536,19776,2134.3,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_882_0
0.3,148256,10,14825.6,13552.0,13344,25632,3811.0,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_828_0
0.3,147712,10,14771.2,13760.0,13472,23680,3137.9,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_846_0
0.3,147263,10,14726.3,13920.0,13632,19552,1828.1,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_927_0
0.3,146848,10,14684.8,13696.0,13600,23584,3127.7,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_900_0
0.3,144928,10,14492.8,13712.0,13504,17984,1599.9,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_918_0
0.3,140768,10,14076.8,13744.0,13536,15712,717.8,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_819_0
0.3,139615,10,13961.5,13568.0,13440,16416,972.0,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_864_0
0.3,139264,10,13926.4,13696.0,13600,15168,504.3,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_873_0
0.3,138912,10,13891.2,13696.0,13504,15264,528.9,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_837_0
0.3,138368,10,13836.8,13712.0,13376,14976,481.1,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_801_0
0.3,137920,10,13792.0,13616.0,13312,15040,499.2,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_909_0
0.3,136992,10,13699.2,13536.0,13376,15424,613.2,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_954_0
0.3,136863,10,13686.3,13584.0,13344,14944,468.4,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_936_0
0.3,136862,10,13686.2,13695.0,13440,14208,215.5,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_855_0
0.3,136288,10,13628.8,13664.0,13408,13824,136.1,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_891_0
0.3,135904,10,13590.4,13456.0,13312,14880,472.2,__myl_Fc_0x81f9d02d484f347870afaaa83bcd9f7c_tensorop64x128_cga1x1_sm1_acc_float_tile_k_count_4_gemm_945_0
0.2,120960,13,9304.6,8352.0,8224,12608,1654.2,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.2,113024,17,6648.5,6528.0,6080,7968,475.9,__myl_SlicNegSlicConcMulMulAddCastMulCastTran_0x35d4c774656c9ecb4f58becd3c9d43a8_com_vec
0.2,103008,1,103008.0,103008.0,103008,103008,0.0,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc4_execute_kernel_trt
0.2,95136,39,2439.4,1824.0,1760,11392,1791.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.2,86144,39,2208.8,1920.0,1792,5376,891.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.2,82272,39,2109.5,1888.0,1792,5440,640.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.2,77087,10,7708.7,6560.0,6464,16608,3153.1,__myl_SlicReplReshSeleMulCastAddMulCastAddConcMaxrSubExpSum_0x99de53638f9c2178cf742a0870c2f722_com
0.1,63616,1,63616.0,63616.0,63616,63616,0.0,_gemm_mha_v2_0xe91b1fc6a68655101c967c64bcaa7e51
0.1,63168,1,63168.0,63168.0,63168,63168,0.0,__myl_MoveMoveMulConcSinCosCastMoveReshCastMoveReshMulSlicNegSlicConcMulAddCastMulCastTranTranMulEtc_0x66163fe53e6743c291d0a6e1969e3453_com_vec
0.1,62368,52,1199.4,1056.0,992,5120,614.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<bool>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.1,58048,10,5804.8,4672.0,4544,10176,2036.4,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_852_0
0.1,54368,1,54368.0,54368.0,54368,54368,0.0,_gemm_mha_v2_0x09ed73464403a18ba87aae1a79c40955
0.1,54176,1,54176.0,54176.0,54176,54176,0.0,_gemm_mha_v2_0x0479337b5a77b9021a6e0c6df758d9d0
0.1,54080,1,54080.0,54080.0,54080,54080,0.0,_gemm_mha_v2_0x544c8b13a383cf1534332d98ee6e1e9e
0.1,53504,1,53504.0,53504.0,53504,53504,0.0,_gemm_mha_v2_0x7d2c5ead66167fd0ffa13831888847c9
0.1,53280,1,53280.0,53280.0,53280,53280,0.0,_gemm_mha_v2_0x4a6a425cfd14ffd728222d5cce9318b8
0.1,53184,1,53184.0,53184.0,53184,53184,0.0,_gemm_mha_v2_0xf8e3e9e92ba615768dac9770648ec16c
0.1,53152,1,53152.0,53152.0,53152,53152,0.0,_gemm_mha_v2_0x2234748bde960172488bac8cb816deea
0.1,53152,1,53152.0,53152.0,53152,53152,0.0,_gemm_mha_v2_0x740c4b4990d1a6286ea8acdbc33d4966
0.1,53152,1,53152.0,53152.0,53152,53152,0.0,_gemm_mha_v2_0xc13348494c7ec933d00e25100a4188e8
0.1,53120,1,53120.0,53120.0,53120,53120,0.0,_gemm_mha_v2_0x51bd4a21313256db605c2e8f5c1cc900
0.1,53056,1,53056.0,53056.0,53056,53056,0.0,_gemm_mha_v2_0x86ab5a83b823a5a9ed850c62c545a439
0.1,53056,1,53056.0,53056.0,53056,53056,0.0,_gemm_mha_v2_0x996a08e1858c120b799b12f053f21b81
0.1,53056,1,53056.0,53056.0,53056,53056,0.0,_gemm_mha_v2_0x99f37724f82e4f7ddc86885eee23b14c
0.1,53024,1,53024.0,53024.0,53024,53024,0.0,_gemm_mha_v2_0x603630aa61b4745bfc70451ba43f9e76
0.1,52960,1,52960.0,52960.0,52960,52960,0.0,_gemm_mha_v2_0x039a3913d3185211ba99195458846b85
0.1,52960,1,52960.0,52960.0,52960,52960,0.0,_gemm_mha_v2_0xd70aad691157718e2c63a271cb8027e8
0.1,52896,1,52896.0,52896.0,52896,52896,0.0,_gemm_mha_v2_0x355463b5053dbbf8de2552b33f76e023
0.1,52864,1,52864.0,52864.0,52864,52864,0.0,_gemm_mha_v2_0xfb372948de95af3819019f40f41eb473
0.1,52736,1,52736.0,52736.0,52736,52736,0.0,_gemm_mha_v2_0x1c15dadd9c1862b6ba7cd17d2c2cfd0b
0.1,52704,1,52704.0,52704.0,52704,52704,0.0,_gemm_mha_v2_0x2d4d7383daac47e28f029a543a338218
0.1,52704,1,52704.0,52704.0,52704,52704,0.0,_gemm_mha_v2_0xbc5ac4651e60b1a918b63f7be4820c73
0.1,52704,1,52704.0,52704.0,52704,52704,0.0,_gemm_mha_v2_0xdbcca5f0526cdffce0eec22aa6937265
0.1,52672,1,52672.0,52672.0,52672,52672,0.0,_gemm_mha_v2_0x3aca488f6a81c1dfda5cf80d404c74c3
0.1,52672,1,52672.0,52672.0,52672,52672,0.0,_gemm_mha_v2_0x44cc9114f90c8a23268a35189ebeec09
0.1,52608,1,52608.0,52608.0,52608,52608,0.0,_gemm_mha_v2_0x548f7b0b1e512788c09c30d5cedac8e4
0.1,52576,1,52576.0,52576.0,52576,52576,0.0,_gemm_mha_v2_0xfc13bbdaf084c3a1d6ab1abd2a4e6f02
0.1,52576,10,5257.6,4512.0,4288,12000,2376.1,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_814_0
0.1,51712,10,5171.2,4096.0,4064,14080,3138.3,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_806_0
0.1,50848,13,3911.4,2784.0,2656,12864,2931.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,49984,10,4998.4,4400.0,4256,9856,1719.0,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_843_0
